epoch (ms),time (-11:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1644946390703,2022-02-15T11:33:10.703,0.000,-0.015,0.971,0.147
1644946390783,2022-02-15T11:33:10.783,0.080,-0.026,0.977,0.152
1644946390864,2022-02-15T11:33:10.864,0.161,-0.034,0.979,0.151
1644946390944,2022-02-15T11:33:10.944,0.241,-0.024,0.990,0.143
1644946391025,2022-02-15T11:33:11.025,0.322,-0.013,0.979,0.137
1644946391105,2022-02-15T11:33:11.105,0.402,-0.017,0.979,0.144
1644946391188,2022-02-15T11:33:11.188,0.485,-0.022,0.978,0.147
1644946391268,2022-02-15T11:33:11.268,0.565,-0.029,0.982,0.146
1644946391349,2022-02-15T11:33:11.349,0.646,-0.035,0.978,0.151
1644946391429,2022-02-15T11:33:11.429,0.726,-0.035,0.980,0.154
1644946391510,2022-02-15T11:33:11.510,0.807,-0.042,0.990,0.160
1644946391590,2022-02-15T11:33:11.590,0.887,-0.021,1.000,0.173
1644946391671,2022-02-15T11:33:11.671,0.968,-0.048,0.993,0.157
1644946391751,2022-02-15T11:33:11.751,1.048,-0.082,0.965,0.157
1644946391834,2022-02-15T11:33:11.834,1.131,-0.083,0.968,0.166
1644946391914,2022-02-15T11:33:11.914,1.211,-0.114,0.968,0.167
1644946391995,2022-02-15T11:33:11.995,1.292,-0.155,0.967,0.167
1644946392075,2022-02-15T11:33:12.075,1.372,-0.194,0.943,0.179
1644946392156,2022-02-15T11:33:12.156,1.453,-0.217,0.935,0.170
1644946392236,2022-02-15T11:33:12.236,1.533,-0.222,0.922,0.161
1644946392317,2022-02-15T11:33:12.317,1.614,-0.259,0.896,0.151
1644946392399,2022-02-15T11:33:12.399,1.696,-0.330,0.928,0.188
1644946392480,2022-02-15T11:33:12.480,1.777,-0.255,1.034,0.267
1644946392560,2022-02-15T11:33:12.560,1.857,-0.124,1.157,0.269
1644946392641,2022-02-15T11:33:12.641,1.938,0.050,0.788,0.224
1644946392721,2022-02-15T11:33:12.721,2.018,0.169,1.012,0.182
1644946392802,2022-02-15T11:33:12.802,2.099,0.083,1.013,0.178
1644946392882,2022-02-15T11:33:12.882,2.179,-0.087,0.888,0.195
1644946392963,2022-02-15T11:33:12.963,2.260,-0.098,1.002,0.163
1644946393045,2022-02-15T11:33:13.045,2.342,-0.072,0.989,0.139
1644946393126,2022-02-15T11:33:13.126,2.423,-0.068,0.971,0.109
1644946393206,2022-02-15T11:33:13.206,2.503,-0.045,0.969,0.098
1644946393287,2022-02-15T11:33:13.287,2.584,-0.075,0.977,0.073
1644946393367,2022-02-15T11:33:13.367,2.664,-0.060,1.093,0.183
1644946393448,2022-02-15T11:33:13.448,2.745,-0.030,1.065,0.297
1644946393528,2022-02-15T11:33:13.528,2.825,-0.083,0.739,0.344
1644946393609,2022-02-15T11:33:13.609,2.906,-0.242,0.983,0.319
1644946393691,2022-02-15T11:33:13.691,2.988,-0.073,1.023,0.218
1644946393772,2022-02-15T11:33:13.772,3.069,-0.109,0.925,0.216
1644946393852,2022-02-15T11:33:13.852,3.149,-0.078,0.979,0.158
1644946393933,2022-02-15T11:33:13.933,3.230,-0.115,0.989,0.123
1644946394013,2022-02-15T11:33:14.013,3.310,-0.146,0.954,0.093
1644946394094,2022-02-15T11:33:14.094,3.391,-0.148,0.947,0.074
1644946394174,2022-02-15T11:33:14.174,3.471,-0.064,1.056,0.186
1644946394255,2022-02-15T11:33:14.255,3.552,0.005,1.115,0.378
1644946394337,2022-02-15T11:33:14.337,3.634,-0.061,0.802,0.260
1644946394418,2022-02-15T11:33:14.418,3.715,0.167,0.936,0.263
1644946394498,2022-02-15T11:33:14.498,3.795,0.051,0.999,0.255
1644946394579,2022-02-15T11:33:14.579,3.876,0.111,0.899,0.210
1644946394659,2022-02-15T11:33:14.659,3.956,0.175,0.952,0.235
1644946394740,2022-02-15T11:33:14.740,4.037,0.189,0.968,0.239
1644946394820,2022-02-15T11:33:14.820,4.117,0.234,0.941,0.238
1644946394902,2022-02-15T11:33:14.902,4.199,0.220,0.923,0.259
1644946394983,2022-02-15T11:33:14.983,4.280,0.125,0.950,0.264
1644946395064,2022-02-15T11:33:15.064,4.361,-0.034,1.040,0.265
1644946395144,2022-02-15T11:33:15.144,4.441,-0.128,0.916,0.248
