epoch (ms),time (-11:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1638655227640,2021-12-04T16:00:27.640,0.000,-0.115,0.983,0.197
1638655227721,2021-12-04T16:00:27.721,0.081,-0.146,0.983,0.208
1638655227801,2021-12-04T16:00:27.801,0.161,-0.142,0.961,0.217
1638655227882,2021-12-04T16:00:27.882,0.242,-0.164,0.953,0.202
1638655227962,2021-12-04T16:00:27.962,0.322,-0.174,0.959,0.196
1638655228044,2021-12-04T16:00:28.044,0.404,-0.172,0.950,0.212
1638655228125,2021-12-04T16:00:28.125,0.485,-0.192,0.926,0.216
1638655228205,2021-12-04T16:00:28.205,0.565,-0.218,0.928,0.215
1638655228286,2021-12-04T16:00:28.286,0.646,-0.273,0.905,0.226
1638655228367,2021-12-04T16:00:28.367,0.727,-0.295,0.847,0.231
1638655228447,2021-12-04T16:00:28.447,0.807,-0.378,0.807,0.236
1638655228528,2021-12-04T16:00:28.528,0.888,-0.393,0.968,0.362
1638655228608,2021-12-04T16:00:28.608,0.968,-0.119,1.353,0.376
1638655228690,2021-12-04T16:00:28.690,1.050,0.198,0.988,0.176
1638655228771,2021-12-04T16:00:28.771,1.131,0.149,0.997,0.183
1638655228851,2021-12-04T16:00:28.851,1.211,0.022,0.886,0.145
1638655228932,2021-12-04T16:00:28.932,1.292,-0.002,0.835,0.219
1638655229013,2021-12-04T16:00:29.013,1.373,-0.052,1.000,0.225
1638655229093,2021-12-04T16:00:29.093,1.453,-0.067,0.988,0.213
1638655229174,2021-12-04T16:00:29.174,1.534,0.053,0.979,0.265
1638655229256,2021-12-04T16:00:29.256,1.616,0.024,0.954,0.298
1638655229336,2021-12-04T16:00:29.336,1.696,0.053,0.946,0.304
1638655229417,2021-12-04T16:00:29.417,1.777,-0.025,0.970,0.279
1638655229497,2021-12-04T16:00:29.497,1.857,-0.159,0.891,0.209
1638655229578,2021-12-04T16:00:29.578,1.938,-0.259,1.009,0.166
1638655229659,2021-12-04T16:00:29.659,2.019,-0.177,1.050,0.199
1638655229739,2021-12-04T16:00:29.739,2.099,-0.134,0.892,0.169
1638655229820,2021-12-04T16:00:29.820,2.180,-0.096,0.973,0.197
