epoch (ms),time (-11:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1638655171664,2021-12-04T15:59:31.664,0.000,-0.202,0.669,0.702
1638655171744,2021-12-04T15:59:31.744,0.080,-0.200,0.700,0.683
1638655171825,2021-12-04T15:59:31.825,0.161,-0.183,0.743,0.651
1638655171905,2021-12-04T15:59:31.905,0.241,-0.170,0.792,0.617
1638655171986,2021-12-04T15:59:31.986,0.322,-0.174,0.815,0.573
1638655172067,2021-12-04T15:59:32.067,0.403,-0.166,0.823,0.544
1638655172147,2021-12-04T15:59:32.147,0.483,-0.134,0.828,0.540
1638655172228,2021-12-04T15:59:32.228,0.564,-0.113,0.853,0.513
1638655172310,2021-12-04T15:59:32.310,0.646,-0.122,0.891,0.484
1638655172390,2021-12-04T15:59:32.390,0.726,-0.118,0.867,0.469
1638655172471,2021-12-04T15:59:32.471,0.807,-0.121,0.881,0.449
1638655172551,2021-12-04T15:59:32.551,0.887,-0.106,0.912,0.420
1638655172632,2021-12-04T15:59:32.632,0.968,-0.117,0.921,0.380
1638655172713,2021-12-04T15:59:32.713,1.049,-0.141,0.935,0.366
1638655172793,2021-12-04T15:59:32.793,1.129,-0.141,0.923,0.375
1638655172875,2021-12-04T15:59:32.875,1.211,-0.122,0.913,0.388
1638655172956,2021-12-04T15:59:32.956,1.292,-0.117,0.924,0.385
1638655173036,2021-12-04T15:59:33.036,1.372,-0.108,0.950,0.396
1638655173117,2021-12-04T15:59:33.117,1.453,-0.128,0.917,0.396
1638655173197,2021-12-04T15:59:33.197,1.533,-0.080,0.923,0.357
1638655173278,2021-12-04T15:59:33.278,1.614,-0.065,0.929,0.347
1638655173359,2021-12-04T15:59:33.359,1.695,-0.095,0.933,0.334
1638655173439,2021-12-04T15:59:33.439,1.775,-0.019,0.939,0.314
1638655173521,2021-12-04T15:59:33.521,1.857,0.034,0.919,0.308
1638655173602,2021-12-04T15:59:33.602,1.938,-0.062,0.879,0.416
1638655173682,2021-12-04T15:59:33.682,2.018,-0.155,0.770,0.436
1638655173763,2021-12-04T15:59:33.763,2.099,-0.217,1.031,0.447
1638655173843,2021-12-04T15:59:33.843,2.179,-0.254,0.974,0.383
1638655173924,2021-12-04T15:59:33.924,2.260,-0.147,0.887,0.420
1638655174005,2021-12-04T15:59:34.005,2.341,-0.069,0.984,0.418
1638655174087,2021-12-04T15:59:34.087,2.423,-0.113,0.927,0.378
1638655174167,2021-12-04T15:59:34.167,2.503,-0.136,0.826,0.365
1638655174248,2021-12-04T15:59:34.248,2.584,-0.146,0.808,0.371
1638655174328,2021-12-04T15:59:34.328,2.664,-0.202,0.687,0.374
1638655174409,2021-12-04T15:59:34.409,2.745,-0.041,0.406,0.480
1638655174489,2021-12-04T15:59:34.489,2.825,-0.201,0.725,0.600
1638655174570,2021-12-04T15:59:34.570,2.906,0.020,0.888,0.731
1638655174651,2021-12-04T15:59:34.651,2.987,0.056,0.960,0.688
1638655174733,2021-12-04T15:59:34.733,3.069,-0.211,0.784,0.596
1638655174813,2021-12-04T15:59:34.813,3.149,-0.188,0.613,0.578
1638655174894,2021-12-04T15:59:34.894,3.230,-0.205,0.544,0.533
1638655174974,2021-12-04T15:59:34.974,3.310,-0.226,0.354,0.352
1638655175055,2021-12-04T15:59:35.055,3.391,0.814,-0.033,0.184
1638655175135,2021-12-04T15:59:35.135,3.471,1.322,0.958,0.250
1638655175216,2021-12-04T15:59:35.216,3.552,1.651,0.754,0.268
1638655175298,2021-12-04T15:59:35.298,3.634,1.223,0.323,0.464
1638655175379,2021-12-04T15:59:35.379,3.715,1.433,0.887,0.436
1638655175459,2021-12-04T15:59:35.459,3.795,0.474,0.439,0.091
1638655175540,2021-12-04T15:59:35.540,3.876,0.895,0.433,0.215
1638655175620,2021-12-04T15:59:35.620,3.956,1.294,0.109,0.221
1638655175701,2021-12-04T15:59:35.701,4.037,0.902,0.197,0.022
1638655175781,2021-12-04T15:59:35.781,4.117,0.977,0.229,-0.025
1638655175862,2021-12-04T15:59:35.862,4.198,1.086,0.235,0.049
1638655175944,2021-12-04T15:59:35.944,4.280,1.014,0.281,0.076
1638655176025,2021-12-04T15:59:36.025,4.361,0.940,0.278,0.100
1638655176105,2021-12-04T15:59:36.105,4.441,0.933,0.322,0.136
1638655176186,2021-12-04T15:59:36.186,4.522,0.895,0.369,0.217
1638655176266,2021-12-04T15:59:36.266,4.602,0.896,0.381,0.275
1638655176347,2021-12-04T15:59:36.347,4.683,0.822,0.458,0.249
1638655176427,2021-12-04T15:59:36.427,4.763,0.723,0.595,0.200
