epoch (ms),time (-11:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1638655318627,2021-12-04T16:01:58.627,0.000,2.622,-20.793,-0.671
1638655318667,2021-12-04T16:01:58.667,0.040,2.439,-20.244,-0.244
1638655318708,2021-12-04T16:01:58.708,0.081,1.646,-17.744,-0.305
1638655318749,2021-12-04T16:01:58.749,0.122,1.646,-17.439,-0.854
1638655318788,2021-12-04T16:01:58.788,0.161,1.220,-18.659,-1.707
1638655318829,2021-12-04T16:01:58.829,0.202,0.732,-18.598,-2.683
1638655318869,2021-12-04T16:01:58.869,0.242,-0.061,-16.829,-2.378
1638655318910,2021-12-04T16:01:58.910,0.283,-1.037,-14.817,-2.256
1638655318949,2021-12-04T16:01:58.949,0.322,0.122,-12.256,-2.073
1638655318990,2021-12-04T16:01:58.990,0.363,2.012,-11.951,-0.732
1638655319031,2021-12-04T16:01:59.031,0.404,1.890,-12.744,1.280
1638655319071,2021-12-04T16:01:59.071,0.444,0.061,-12.561,1.159
1638655319112,2021-12-04T16:01:59.112,0.485,-1.951,-16.098,-1.951
1638655319151,2021-12-04T16:01:59.151,0.524,-2.805,-23.293,-4.695
1638655319192,2021-12-04T16:01:59.192,0.565,-5.244,-28.537,-5.854
1638655319232,2021-12-04T16:01:59.232,0.605,-6.037,-31.707,-3.476
1638655319273,2021-12-04T16:01:59.273,0.646,-8.841,-34.695,-0.976
1638655319313,2021-12-04T16:01:59.313,0.686,-10.671,-30.976,-0.793
1638655319354,2021-12-04T16:01:59.354,0.727,-10.427,-23.720,-2.012
1638655319395,2021-12-04T16:01:59.395,0.768,-8.476,-21.341,-1.768
1638655319434,2021-12-04T16:01:59.434,0.807,-7.317,-21.098,-2.561
1638655319475,2021-12-04T16:01:59.475,0.848,-5.427,-22.866,-7.439
1638655319515,2021-12-04T16:01:59.515,0.888,-2.866,-25.976,-11.524
1638655319556,2021-12-04T16:01:59.556,0.929,1.159,-33.415,-13.232
1638655319595,2021-12-04T16:01:59.595,0.968,6.402,-37.561,-13.354
1638655319636,2021-12-04T16:01:59.636,1.009,3.841,-34.756,-9.207
1638655319677,2021-12-04T16:01:59.677,1.050,2.927,-36.829,-0.793
1638655319717,2021-12-04T16:01:59.717,1.090,9.573,-33.963,7.317
1638655319758,2021-12-04T16:01:59.758,1.131,8.902,-31.037,4.329
1638655319797,2021-12-04T16:01:59.797,1.170,10.366,-40.122,-4.329
1638655319838,2021-12-04T16:01:59.838,1.211,16.220,-46.524,-19.390
1638655319878,2021-12-04T16:01:59.878,1.251,20.305,-43.841,-34.085
1638655319919,2021-12-04T16:01:59.919,1.292,20.854,-45.732,-33.354
1638655319959,2021-12-04T16:01:59.959,1.332,18.720,-49.695,-28.232
1638655320000,2021-12-04T16:02:00.000,1.373,13.963,-55.610,-25.427
1638655320041,2021-12-04T16:02:00.041,1.414,9.512,-60.671,-20.549
1638655320080,2021-12-04T16:02:00.080,1.453,7.805,-63.659,-16.829
1638655320121,2021-12-04T16:02:00.121,1.494,6.402,-64.390,-13.720
1638655320161,2021-12-04T16:02:00.161,1.534,4.451,-63.902,-10.732
1638655320202,2021-12-04T16:02:00.202,1.575,1.159,-63.598,-10.061
1638655320241,2021-12-04T16:02:00.241,1.614,-0.915,-63.232,-8.659
1638655320282,2021-12-04T16:02:00.282,1.655,-0.610,-61.890,-4.878
1638655320323,2021-12-04T16:02:00.323,1.696,-2.317,-59.878,-2.439
1638655320363,2021-12-04T16:02:00.363,1.736,-3.963,-54.024,-2.073
1638655320404,2021-12-04T16:02:00.404,1.777,-3.476,-45.671,-3.598
1638655320443,2021-12-04T16:02:00.443,1.816,-1.646,-38.476,-7.744
1638655320484,2021-12-04T16:02:00.484,1.857,3.963,-35.366,-11.890
1638655320524,2021-12-04T16:02:00.524,1.897,-3.171,-32.988,-16.037
1638655320565,2021-12-04T16:02:00.565,1.938,-4.268,-7.256,-34.939
1638655320606,2021-12-04T16:02:00.606,1.979,-3.171,-5.671,-31.463
1638655320646,2021-12-04T16:02:00.646,2.019,-10.854,-26.829,-18.171
1638655320687,2021-12-04T16:02:00.687,2.060,-4.695,-17.927,-17.439
1638655320726,2021-12-04T16:02:00.726,2.099,8.841,3.537,-4.146
1638655320767,2021-12-04T16:02:00.767,2.140,12.012,14.695,22.561
1638655320807,2021-12-04T16:02:00.807,2.180,10.854,19.268,29.939
1638655320848,2021-12-04T16:02:00.848,2.221,12.500,19.878,17.439
1638655320889,2021-12-04T16:02:00.889,2.262,5.854,12.195,5.610
1638655320928,2021-12-04T16:02:00.928,2.301,-2.378,5.915,2.317
1638655320969,2021-12-04T16:02:00.969,2.342,-2.500,9.939,1.585
1638655321009,2021-12-04T16:02:01.009,2.382,0.915,21.341,3.476
1638655321050,2021-12-04T16:02:01.050,2.423,-0.122,29.146,4.512
1638655321089,2021-12-04T16:02:01.089,2.462,1.890,29.146,8.659
1638655321130,2021-12-04T16:02:01.130,2.503,11.220,26.220,18.902
1638655321170,2021-12-04T16:02:01.170,2.543,1.220,15.061,22.500
1638655321211,2021-12-04T16:02:01.211,2.584,-16.951,-12.439,33.354
1638655321252,2021-12-04T16:02:01.252,2.625,-8.902,9.817,39.329
1638655321292,2021-12-04T16:02:01.292,2.665,-3.354,39.146,34.268
1638655321333,2021-12-04T16:02:01.333,2.706,-5.366,36.280,20.854
1638655321372,2021-12-04T16:02:01.372,2.745,2.561,28.476,-3.780
1638655321413,2021-12-04T16:02:01.413,2.786,10.427,22.866,-23.902
1638655321453,2021-12-04T16:02:01.453,2.826,6.037,13.598,-26.280
1638655321494,2021-12-04T16:02:01.494,2.867,0.671,7.012,-23.415
1638655321535,2021-12-04T16:02:01.535,2.908,-5.244,7.317,-14.878
1638655321574,2021-12-04T16:02:01.574,2.947,-6.463,11.037,3.415
1638655321615,2021-12-04T16:02:01.615,2.988,-3.110,6.220,15.305
1638655321655,2021-12-04T16:02:01.655,3.028,-2.317,-5.366,12.195
1638655321696,2021-12-04T16:02:01.696,3.069,0.549,-5.610,7.622
1638655321735,2021-12-04T16:02:01.735,3.108,9.390,-0.244,2.683
1638655321776,2021-12-04T16:02:01.776,3.149,18.415,-5.549,-4.024
1638655321817,2021-12-04T16:02:01.817,3.190,15.000,-12.256,-21.037
1638655321857,2021-12-04T16:02:01.857,3.230,7.012,12.622,-53.171
1638655321898,2021-12-04T16:02:01.898,3.271,-2.683,11.402,-47.500
1638655321938,2021-12-04T16:02:01.938,3.311,-10.610,-10.976,-25.732
1638655321979,2021-12-04T16:02:01.979,3.352,-1.341,-6.220,-11.890
1638655322018,2021-12-04T16:02:02.018,3.391,3.049,9.878,10.244
1638655322059,2021-12-04T16:02:02.059,3.432,-2.927,32.439,25.610
1638655322100,2021-12-04T16:02:02.100,3.473,-5.183,32.927,24.573
1638655322140,2021-12-04T16:02:02.140,3.513,-5.549,29.756,14.817
1638655322181,2021-12-04T16:02:02.181,3.554,-1.402,28.232,-1.402
1638655322220,2021-12-04T16:02:02.220,3.593,-1.280,23.963,-12.256
1638655322261,2021-12-04T16:02:02.261,3.634,-4.634,22.561,-6.829
1638655322301,2021-12-04T16:02:02.301,3.674,0.000,31.646,4.207
1638655322342,2021-12-04T16:02:02.342,3.715,4.207,35.427,11.280
1638655322381,2021-12-04T16:02:02.381,3.754,10.427,33.354,18.659
1638655322422,2021-12-04T16:02:02.422,3.795,-3.110,33.902,24.634
1638655322463,2021-12-04T16:02:02.463,3.836,-21.159,14.146,36.037
1638655322503,2021-12-04T16:02:02.503,3.876,-3.659,22.866,55.732
1638655322544,2021-12-04T16:02:02.544,3.917,5.427,54.634,48.598
1638655322584,2021-12-04T16:02:02.584,3.957,0.244,51.524,16.280
1638655322625,2021-12-04T16:02:02.625,3.998,5.793,41.951,-2.500
1638655322664,2021-12-04T16:02:02.664,4.037,7.988,35.000,-9.451
1638655322705,2021-12-04T16:02:02.705,4.078,1.402,15.610,-11.829
1638655322746,2021-12-04T16:02:02.746,4.119,-6.951,7.561,-9.817
1638655322786,2021-12-04T16:02:02.786,4.159,-9.573,12.073,0.122
1638655322827,2021-12-04T16:02:02.827,4.200,-4.512,21.890,15.244
1638655322866,2021-12-04T16:02:02.866,4.239,-1.585,37.256,27.927
1638655322907,2021-12-04T16:02:02.907,4.280,1.951,41.585,33.110
1638655322947,2021-12-04T16:02:02.947,4.320,8.963,23.049,32.622
1638655322988,2021-12-04T16:02:02.988,4.361,18.110,0.000,13.963
1638655323027,2021-12-04T16:02:03.027,4.400,15.366,3.354,-26.951
1638655323068,2021-12-04T16:02:03.068,4.441,6.402,13.476,-46.098
1638655323109,2021-12-04T16:02:03.109,4.482,-0.061,40.427,-19.573
1638655323149,2021-12-04T16:02:03.149,4.522,-8.049,80.488,8.598
1638655323190,2021-12-04T16:02:03.190,4.563,-12.805,97.256,29.146
1638655323230,2021-12-04T16:02:03.230,4.603,-15.000,109.146,39.207
1638655323271,2021-12-04T16:02:03.271,4.644,-17.683,114.329,34.634
1638655323310,2021-12-04T16:02:03.310,4.683,-17.073,113.537,25.488
1638655323351,2021-12-04T16:02:03.351,4.724,-13.598,114.756,21.829
1638655323392,2021-12-04T16:02:03.392,4.765,-11.951,117.866,24.939
1638655323432,2021-12-04T16:02:03.432,4.805,-16.768,118.720,27.195
1638655323473,2021-12-04T16:02:03.473,4.846,-20.610,116.280,23.780
1638655323553,2021-12-04T16:02:03.553,4.926,-11.707,112.256,22.744
1638655323593,2021-12-04T16:02:03.593,4.966,-9.878,119.878,27.561
1638655323634,2021-12-04T16:02:03.634,5.007,-17.500,128.110,27.073
1638655323675,2021-12-04T16:02:03.675,5.048,-31.341,140.244,30.854
1638655323714,2021-12-04T16:02:03.714,5.087,-26.159,156.829,50.549
1638655323755,2021-12-04T16:02:03.755,5.128,-18.537,155.671,70.366
1638655323795,2021-12-04T16:02:03.795,5.168,-8.171,145.122,50.732
1638655323836,2021-12-04T16:02:03.836,5.209,-3.659,129.756,19.939
1638655323876,2021-12-04T16:02:03.876,5.249,-4.878,127.500,15.793
1638655323917,2021-12-04T16:02:03.917,5.290,-4.756,126.341,22.927
1638655323958,2021-12-04T16:02:03.958,5.331,-4.390,114.207,28.963
1638655323997,2021-12-04T16:02:03.997,5.370,-5.488,95.610,30.488
1638655324038,2021-12-04T16:02:04.038,5.411,-5.854,78.902,26.829
1638655324078,2021-12-04T16:02:04.078,5.451,-4.756,62.500,20.000
1638655324119,2021-12-04T16:02:04.119,5.492,-0.488,51.341,16.463
1638655324158,2021-12-04T16:02:04.158,5.531,9.817,52.256,22.561
1638655324199,2021-12-04T16:02:04.199,5.572,17.439,59.512,19.878
1638655324239,2021-12-04T16:02:04.239,5.612,12.866,70.671,-5.061
1638655324280,2021-12-04T16:02:04.280,5.653,-3.963,88.110,-17.317
1638655324321,2021-12-04T16:02:04.321,5.694,-13.841,84.695,0.610
1638655324360,2021-12-04T16:02:04.360,5.733,-14.878,65.244,1.524
1638655324401,2021-12-04T16:02:04.401,5.774,-4.390,58.659,3.232
1638655324441,2021-12-04T16:02:04.441,5.814,-4.390,62.256,23.659
1638655324482,2021-12-04T16:02:04.482,5.855,-8.415,69.207,34.085
1638655324522,2021-12-04T16:02:04.522,5.895,-5.305,53.598,38.902
1638655324563,2021-12-04T16:02:04.563,5.936,-4.390,47.256,27.500
1638655324604,2021-12-04T16:02:04.604,5.977,-0.244,44.451,4.329
1638655324643,2021-12-04T16:02:04.643,6.016,-0.610,35.549,-0.427
1638655324684,2021-12-04T16:02:04.684,6.057,-3.293,31.768,8.293
1638655324724,2021-12-04T16:02:04.724,6.097,-2.256,34.573,7.378
1638655324765,2021-12-04T16:02:04.765,6.138,1.341,40.366,1.037
1638655324804,2021-12-04T16:02:04.804,6.177,3.598,41.951,1.524
1638655324845,2021-12-04T16:02:04.845,6.218,4.695,41.585,8.110
1638655324885,2021-12-04T16:02:04.885,6.258,-8.232,29.146,21.463
1638655324926,2021-12-04T16:02:04.926,6.299,-5.366,-2.439,44.695
1638655324967,2021-12-04T16:02:04.967,6.340,-3.841,3.963,48.963
1638655325006,2021-12-04T16:02:05.006,6.379,1.585,24.451,26.463
1638655325047,2021-12-04T16:02:05.047,6.420,1.951,13.780,2.012
1638655325087,2021-12-04T16:02:05.087,6.460,9.817,0.732,-12.134
1638655325128,2021-12-04T16:02:05.128,6.501,15.244,-13.659,-16.829
1638655325168,2021-12-04T16:02:05.168,6.541,12.805,-25.427,-16.951
1638655325209,2021-12-04T16:02:05.209,6.582,6.402,-26.098,-17.561
1638655325250,2021-12-04T16:02:05.250,6.623,1.646,-25.915,-11.402
1638655325289,2021-12-04T16:02:05.289,6.662,0.793,-24.939,0.732
1638655325330,2021-12-04T16:02:05.330,6.703,-2.256,-26.159,7.317
1638655325370,2021-12-04T16:02:05.370,6.743,-6.159,-29.085,6.098
1638655325411,2021-12-04T16:02:05.411,6.784,-6.524,-30.488,3.171
1638655325450,2021-12-04T16:02:05.450,6.823,-6.341,-27.378,-1.220
1638655325491,2021-12-04T16:02:05.491,6.864,2.195,-21.768,-5.183
1638655325532,2021-12-04T16:02:05.532,6.905,17.195,-27.622,-10.610
1638655325572,2021-12-04T16:02:05.572,6.945,6.585,-26.646,-29.146
1638655325613,2021-12-04T16:02:05.613,6.986,0.183,-4.329,-59.024
1638655325652,2021-12-04T16:02:05.652,7.025,-8.232,-17.866,-44.085
1638655325693,2021-12-04T16:02:05.693,7.066,-3.476,-30.610,-17.256
1638655325733,2021-12-04T16:02:05.733,7.106,9.390,-7.256,5.000
1638655325774,2021-12-04T16:02:05.774,7.147,8.232,14.451,18.354
1638655325815,2021-12-04T16:02:05.815,7.188,1.159,24.695,24.268
1638655325855,2021-12-04T16:02:05.855,7.228,-3.415,25.244,19.024
1638655325896,2021-12-04T16:02:05.896,7.269,-1.159,22.378,3.293
1638655325935,2021-12-04T16:02:05.935,7.308,4.390,16.890,-8.963
1638655325976,2021-12-04T16:02:05.976,7.349,0.732,18.049,-10.915
1638655326016,2021-12-04T16:02:06.016,7.389,2.866,22.683,-3.902
1638655326057,2021-12-04T16:02:06.057,7.430,4.451,24.817,3.293
1638655326096,2021-12-04T16:02:06.096,7.469,1.585,24.695,7.439
1638655326137,2021-12-04T16:02:06.137,7.510,-16.220,5.305,21.768
1638655326178,2021-12-04T16:02:06.178,7.551,-15.671,-14.573,48.537
1638655326218,2021-12-04T16:02:06.218,7.591,0.366,21.098,42.378
1638655326259,2021-12-04T16:02:06.259,7.632,5.183,44.756,23.902
1638655326298,2021-12-04T16:02:06.298,7.671,2.988,19.512,4.390
1638655326339,2021-12-04T16:02:06.339,7.712,10.671,5.122,-8.841
1638655326379,2021-12-04T16:02:06.379,7.752,19.512,-4.390,-20.000
1638655326420,2021-12-04T16:02:06.420,7.793,15.976,-12.805,-19.146
1638655326461,2021-12-04T16:02:06.461,7.834,4.634,-13.354,-14.939
1638655326501,2021-12-04T16:02:06.501,7.874,-0.671,-19.512,-6.707
1638655326542,2021-12-04T16:02:06.542,7.915,3.049,-26.646,0.976
1638655326581,2021-12-04T16:02:06.581,7.954,4.329,-32.378,6.951
1638655326622,2021-12-04T16:02:06.622,7.995,2.073,-34.451,9.207
1638655326662,2021-12-04T16:02:06.662,8.035,1.829,-32.012,7.317
1638655326703,2021-12-04T16:02:06.703,8.076,-2.500,-26.524,3.720
1638655326744,2021-12-04T16:02:06.744,8.117,5.183,-35.793,1.951
1638655326783,2021-12-04T16:02:06.783,8.156,13.780,-50.000,-11.951
1638655326824,2021-12-04T16:02:06.824,8.197,7.561,-37.134,-38.049
1638655326864,2021-12-04T16:02:06.864,8.237,6.585,-25.488,-49.207
1638655326905,2021-12-04T16:02:06.905,8.278,-6.220,-38.598,-26.159
1638655326944,2021-12-04T16:02:06.944,8.317,-17.500,-52.439,-22.500
1638655326985,2021-12-04T16:02:06.985,8.358,-13.841,-36.341,-37.012
1638655327026,2021-12-04T16:02:07.026,8.399,-2.012,-16.829,-20.549
1638655327066,2021-12-04T16:02:07.066,8.439,-3.537,-4.634,17.683
