epoch (ms),time (-11:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1638654934341,2021-12-04T15:55:34.341,0.000,-0.122,-3.720,3.598
1638654934380,2021-12-04T15:55:34.380,0.039,0.122,-4.268,2.988
1638654934421,2021-12-04T15:55:34.421,0.080,0.671,-5.732,2.012
1638654934461,2021-12-04T15:55:34.461,0.120,2.012,-7.256,-0.427
1638654934502,2021-12-04T15:55:34.502,0.161,2.622,-8.476,-2.561
1644946390460,2022-02-15T11:33:10.460,6291456.000,2.012,-7.256,-0.427
1644946390581,2022-02-15T11:33:10.581,6291456.000,0.976,-9.024,-2.622
1644946390622,2022-02-15T11:33:10.622,6291456.500,1.159,-8.354,-2.317
1644946390662,2022-02-15T11:33:10.662,6291456.500,1.463,-6.402,-2.195
1644946390703,2022-02-15T11:33:10.703,6291456.500,1.646,-5.000,-1.585
1644946390742,2022-02-15T11:33:10.742,6291456.500,1.463,-4.634,-0.732
1644946390783,2022-02-15T11:33:10.783,6291456.500,1.585,-4.512,-0.488
1644946390824,2022-02-15T11:33:10.824,6291456.500,2.317,-5.183,-0.061
1644946390864,2022-02-15T11:33:10.864,6291456.500,2.439,-6.280,0.305
1644946390905,2022-02-15T11:33:10.905,6291456.500,0.671,-6.463,-0.488
1644946390944,2022-02-15T11:33:10.944,6291456.500,-0.061,-7.012,-2.012
1644946390985,2022-02-15T11:33:10.985,6291456.500,0.854,-6.707,-2.500
1644946391025,2022-02-15T11:33:11.025,6291456.500,0.488,-5.000,-2.073
1644946391066,2022-02-15T11:33:11.066,6291456.500,-1.037,-2.866,-1.463
1644946391107,2022-02-15T11:33:11.107,6291456.500,-0.183,-1.646,-0.976
1644946391147,2022-02-15T11:33:11.147,6291457.000,-0.183,-0.793,-0.671
1644946391188,2022-02-15T11:33:11.188,6291457.000,-0.915,0.000,-0.122
1644946391227,2022-02-15T11:33:11.227,6291457.000,-0.122,0.244,0.000
1644946391268,2022-02-15T11:33:11.268,6291457.000,-0.976,0.000,0.488
1644946391308,2022-02-15T11:33:11.308,6291457.000,-1.037,-0.915,0.122
1644946391349,2022-02-15T11:33:11.349,6291457.000,-0.976,-1.890,-0.183
1644946391388,2022-02-15T11:33:11.388,6291457.000,-1.098,-2.134,-0.244
1644946391429,2022-02-15T11:33:11.429,6291457.000,-1.707,-2.134,-0.671
1644946391470,2022-02-15T11:33:11.470,6291457.000,-2.317,-2.378,-1.037
1644946391510,2022-02-15T11:33:11.510,6291457.000,-3.476,-2.866,-1.768
1644946391551,2022-02-15T11:33:11.551,6291457.000,-2.256,-2.561,-3.841
1644946391590,2022-02-15T11:33:11.590,6291457.000,1.463,1.951,-8.720
1644946391631,2022-02-15T11:33:11.631,6291457.500,-1.220,4.756,-14.390
1644946391671,2022-02-15T11:33:11.671,6291457.500,-3.841,4.573,-15.305
1644946391712,2022-02-15T11:33:11.712,6291457.500,-6.890,5.183,-12.195
1644946391753,2022-02-15T11:33:11.753,6291457.500,-7.134,5.793,-10.488
