epoch (ms),time (-11:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1638654253524,2021-12-04T15:44:13.524,0.000,9.817,-3.293,-1.280
1638654253563,2021-12-04T15:44:13.563,0.039,9.695,-3.780,-1.463
1638654253604,2021-12-04T15:44:13.604,0.080,10.915,-6.402,-2.561
1638654253644,2021-12-04T15:44:13.644,0.120,12.317,-8.902,-3.780
1638654253685,2021-12-04T15:44:13.685,0.161,13.841,-9.939,-5.488
1638654253726,2021-12-04T15:44:13.726,0.202,14.634,-10.610,-8.110
1638654253765,2021-12-04T15:44:13.765,0.241,13.659,-11.402,-10.061
1638654253806,2021-12-04T15:44:13.806,0.282,13.415,-13.232,-11.402
1638654253846,2021-12-04T15:44:13.846,0.322,14.939,-18.110,-10.000
1638654253887,2021-12-04T15:44:13.887,0.363,17.012,-24.390,-7.500
1638654253926,2021-12-04T15:44:13.926,0.402,18.902,-29.024,-5.793
1638654253967,2021-12-04T15:44:13.967,0.443,19.878,-31.951,-3.659
1638654254008,2021-12-04T15:44:14.008,0.484,20.976,-35.366,-0.366
1638654254048,2021-12-04T15:44:14.048,0.524,22.256,-35.854,2.927
1638654254089,2021-12-04T15:44:14.089,0.565,21.463,-32.683,4.878
1638654254129,2021-12-04T15:44:14.129,0.605,18.049,-30.122,5.854
1638654254170,2021-12-04T15:44:14.170,0.646,15.183,-29.939,7.195
1638654254209,2021-12-04T15:44:14.209,0.685,13.659,-34.878,8.902
1638654254250,2021-12-04T15:44:14.250,0.726,14.512,-43.780,8.232
1638654254290,2021-12-04T15:44:14.290,0.766,20.305,-54.451,2.866
1638654254331,2021-12-04T15:44:14.331,0.807,33.171,-54.512,-0.305
1638654254372,2021-12-04T15:44:14.372,0.848,41.585,-45.549,-5.671
1638654254411,2021-12-04T15:44:14.411,0.887,32.866,-29.390,-23.415
1638654254452,2021-12-04T15:44:14.452,0.928,21.463,-24.878,-36.037
1638654254492,2021-12-04T15:44:14.492,0.968,2.927,-42.744,-36.463
1638654254533,2021-12-04T15:44:14.533,1.009,-5.732,-48.354,-17.988
1638654254572,2021-12-04T15:44:14.572,1.048,17.744,-67.195,6.524
1638654254613,2021-12-04T15:44:14.613,1.089,5.976,-79.939,10.183
1638654254653,2021-12-04T15:44:14.653,1.129,-9.878,-72.744,1.098
1638654254694,2021-12-04T15:44:14.694,1.170,-4.695,-57.378,-0.549
1638654254735,2021-12-04T15:44:14.735,1.211,3.659,-53.110,0.000
1638654254775,2021-12-04T15:44:14.775,1.251,3.780,-61.524,-6.829
1638654254816,2021-12-04T15:44:14.816,1.292,2.500,-72.622,-10.854
1638654254855,2021-12-04T15:44:14.855,1.331,5.000,-74.451,-12.073
1638654254896,2021-12-04T15:44:14.896,1.372,0.183,-81.646,-12.622
1638654254936,2021-12-04T15:44:14.936,1.412,0.915,-93.110,-13.841
1638654254977,2021-12-04T15:44:14.977,1.453,4.939,-97.073,-15.610
1638654255018,2021-12-04T15:44:15.018,1.494,5.793,-93.415,-15.305
1638654255057,2021-12-04T15:44:15.057,1.533,6.463,-86.220,-10.610
1638654255098,2021-12-04T15:44:15.098,1.574,8.841,-77.927,-3.049
1638654255138,2021-12-04T15:44:15.138,1.614,4.756,-70.488,-4.573
1638654255179,2021-12-04T15:44:15.179,1.655,-5.244,-67.744,-11.220
1638654255218,2021-12-04T15:44:15.218,1.694,-12.500,-69.268,-8.049
1638654255259,2021-12-04T15:44:15.259,1.735,-9.207,-64.817,1.037
1638654255299,2021-12-04T15:44:15.299,1.775,-9.756,-53.902,3.293
1638654255340,2021-12-04T15:44:15.340,1.816,-17.500,-52.927,1.768
1638654255381,2021-12-04T15:44:15.381,1.857,-26.768,-50.976,-1.707
1638654255421,2021-12-04T15:44:15.421,1.897,1.463,-45.732,-6.402
1638654255462,2021-12-04T15:44:15.462,1.938,36.159,-21.402,-39.573
1638654255501,2021-12-04T15:44:15.501,1.977,10.244,16.037,-42.378
1638654255542,2021-12-04T15:44:15.542,2.018,-15.854,37.927,-14.878
1638654255582,2021-12-04T15:44:15.582,2.058,-15.549,38.841,-5.305
1638654255623,2021-12-04T15:44:15.623,2.099,-1.768,26.463,-7.561
1638654255664,2021-12-04T15:44:15.664,2.140,7.317,17.927,-4.634
1638654255703,2021-12-04T15:44:15.703,2.179,4.634,17.378,0.061
1638654255744,2021-12-04T15:44:15.744,2.220,-3.780,20.854,3.415
