epoch (ms),time (-11:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1638655227357,2021-12-04T16:00:27.357,0.000,0.244,1.463,0.610
1638655227397,2021-12-04T16:00:27.397,0.040,0.305,1.707,0.671
1638655227438,2021-12-04T16:00:27.438,0.081,0.427,0.000,1.037
1638655227479,2021-12-04T16:00:27.479,0.122,0.305,-1.951,0.732
1638655227518,2021-12-04T16:00:27.518,0.161,0.000,-2.805,-0.976
1638655227559,2021-12-04T16:00:27.559,0.202,0.000,-3.537,-2.317
1638655227599,2021-12-04T16:00:27.599,0.242,0.305,-5.305,-4.146
1638655227640,2021-12-04T16:00:27.640,0.283,1.220,-9.268,-8.232
1638655227680,2021-12-04T16:00:27.680,0.323,-0.427,-14.939,-11.220
1638655227721,2021-12-04T16:00:27.721,0.364,-2.988,-19.695,-10.854
1638655227762,2021-12-04T16:00:27.762,0.405,-4.756,-22.256,-11.524
1638655227801,2021-12-04T16:00:27.801,0.444,-4.573,-23.110,-12.988
1638655227842,2021-12-04T16:00:27.842,0.485,-3.659,-24.268,-12.256
1638655227882,2021-12-04T16:00:27.882,0.525,-2.012,-26.341,-12.073
1638655227923,2021-12-04T16:00:27.923,0.566,-0.366,-28.780,-14.024
1638655227962,2021-12-04T16:00:27.962,0.605,0.488,-29.573,-14.573
1638655228003,2021-12-04T16:00:28.003,0.646,0.061,-29.878,-12.866
1638655228044,2021-12-04T16:00:28.044,0.687,0.305,-28.780,-10.671
1638655228084,2021-12-04T16:00:28.084,0.727,1.098,-27.012,-9.390
1638655228125,2021-12-04T16:00:28.125,0.768,3.841,-26.585,-8.780
1638655228164,2021-12-04T16:00:28.164,0.807,5.610,-21.341,-8.354
1638655228205,2021-12-04T16:00:28.205,0.848,5.610,-18.232,-6.707
1638655228245,2021-12-04T16:00:28.245,0.888,3.720,-16.707,-5.183
1638655228286,2021-12-04T16:00:28.286,0.929,2.195,-12.805,-3.415
1638655228327,2021-12-04T16:00:28.327,0.970,2.195,-12.378,-0.549
1638655228367,2021-12-04T16:00:28.367,1.010,3.841,-12.622,1.402
1638655228408,2021-12-04T16:00:28.408,1.051,7.012,-16.585,3.963
1638655228447,2021-12-04T16:00:28.447,1.090,10.000,-22.012,7.622
1638655228488,2021-12-04T16:00:28.488,1.131,8.902,-38.293,8.963
1638655228528,2021-12-04T16:00:28.528,1.171,-0.671,-51.463,4.573
1638655228569,2021-12-04T16:00:28.569,1.212,-5.488,-53.110,-13.171
1638655228608,2021-12-04T16:00:28.608,1.251,-8.841,-65.854,-34.207
1638655228649,2021-12-04T16:00:28.649,1.292,-19.085,-69.756,-31.280
1638655228690,2021-12-04T16:00:28.690,1.333,-13.293,-69.451,-17.927
1638655228730,2021-12-04T16:00:28.730,1.373,-7.805,-74.634,-10.488
