epoch (ms),time (-11:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1638654253887,2021-12-04T15:44:13.887,0.000,-0.200,0.904,0.309
1638654253967,2021-12-04T15:44:13.967,0.080,-0.201,0.923,0.292
1638654254048,2021-12-04T15:44:14.048,0.161,-0.205,0.925,0.298
1638654254129,2021-12-04T15:44:14.129,0.242,-0.197,0.924,0.312
1638654254209,2021-12-04T15:44:14.209,0.322,-0.256,0.886,0.307
1638654254290,2021-12-04T15:44:14.290,0.403,-0.304,0.857,0.276
1638654254372,2021-12-04T15:44:14.372,0.485,-0.131,0.935,0.281
1638654254452,2021-12-04T15:44:14.452,0.565,0.031,1.091,0.268
1638654254533,2021-12-04T15:44:14.533,0.646,-0.124,1.227,0.094
1638654254613,2021-12-04T15:44:14.613,0.726,-0.067,0.987,0.018
1638654254694,2021-12-04T15:44:14.694,0.807,0.089,0.927,0.060
1638654254775,2021-12-04T15:44:14.775,0.888,-0.119,0.923,0.085
1638654254855,2021-12-04T15:44:14.855,0.968,-0.081,0.999,0.154
1638654254936,2021-12-04T15:44:14.936,1.049,-0.098,0.969,0.186
1638654255018,2021-12-04T15:44:15.018,1.131,-0.064,0.995,0.229
1638654255098,2021-12-04T15:44:15.098,1.211,0.036,0.935,0.275
1638654255179,2021-12-04T15:44:15.179,1.292,-0.036,0.910,0.311
1638654255259,2021-12-04T15:44:15.259,1.372,-0.113,1.000,0.211
1638654255340,2021-12-04T15:44:15.340,1.453,-0.080,1.072,0.121
1638654255421,2021-12-04T15:44:15.421,1.534,-0.110,1.221,0.181
1638654255501,2021-12-04T15:44:15.501,1.614,0.112,0.871,0.023
1638654255582,2021-12-04T15:44:15.582,1.695,-0.156,0.916,0.087
1638654255664,2021-12-04T15:44:15.664,1.777,-0.214,0.971,0.157
1638654255744,2021-12-04T15:44:15.744,1.857,-0.090,0.988,0.138
1638654255825,2021-12-04T15:44:15.825,1.938,-0.150,0.965,0.181
1638654255905,2021-12-04T15:44:15.905,2.018,-0.182,0.930,0.219
1638654255986,2021-12-04T15:44:15.986,2.099,-0.177,0.958,0.219
1638654256067,2021-12-04T15:44:16.067,2.180,-0.076,1.015,0.206
1638654256147,2021-12-04T15:44:16.147,2.260,-0.039,0.959,0.221
1638654256228,2021-12-04T15:44:16.228,2.341,0.020,0.938,0.195
1638654256308,2021-12-04T15:44:16.308,2.421,-0.003,1.020,0.147
1638654256390,2021-12-04T15:44:16.390,2.503,0.039,1.008,0.138
1638654256471,2021-12-04T15:44:16.471,2.584,0.005,0.976,0.171
1638654256551,2021-12-04T15:44:16.551,2.664,0.004,0.977,0.228
1638654256632,2021-12-04T15:44:16.632,2.745,-0.001,0.967,0.230
1638654256713,2021-12-04T15:44:16.713,2.826,0.024,1.002,0.215
1638654256793,2021-12-04T15:44:16.793,2.906,0.018,0.968,0.155
1638654256874,2021-12-04T15:44:16.874,2.987,0.095,1.028,0.132
1638654256954,2021-12-04T15:44:16.954,3.067,0.121,0.980,0.142
1638654257036,2021-12-04T15:44:17.036,3.149,0.187,0.911,0.111
1638654257117,2021-12-04T15:44:17.117,3.230,-0.011,1.129,0.316
1638654257197,2021-12-04T15:44:17.197,3.310,0.085,0.948,0.263
1638654257278,2021-12-04T15:44:17.278,3.391,-0.179,0.875,0.252
1638654257359,2021-12-04T15:44:17.359,3.472,-0.251,0.958,0.269
1638654257439,2021-12-04T15:44:17.439,3.552,-0.009,0.938,0.261
1638654257520,2021-12-04T15:44:17.520,3.633,0.028,0.754,0.251
1638654257600,2021-12-04T15:44:17.600,3.713,-0.048,0.727,0.129
1638654257682,2021-12-04T15:44:17.682,3.795,0.007,0.755,0.083
1638654257763,2021-12-04T15:44:17.763,3.876,0.029,0.733,0.339
1638654257843,2021-12-04T15:44:17.843,3.956,0.209,0.815,0.308
1638654257924,2021-12-04T15:44:17.924,4.037,-0.025,0.882,0.278
1638654258005,2021-12-04T15:44:18.005,4.118,-0.196,0.710,0.257
1638654258085,2021-12-04T15:44:18.085,4.198,-0.414,1.166,1.071
1638654258166,2021-12-04T15:44:18.166,4.279,0.417,1.275,0.674
1638654258246,2021-12-04T15:44:18.246,4.359,-0.048,0.270,-0.277
1638654258327,2021-12-04T15:44:18.327,4.440,-1.294,0.034,-0.088
1638654258409,2021-12-04T15:44:18.409,4.522,-2.153,0.407,-0.205
1638654258489,2021-12-04T15:44:18.489,4.602,-1.523,0.449,-0.529
1638654258570,2021-12-04T15:44:18.570,4.683,-0.321,0.414,-0.611
1638654258651,2021-12-04T15:44:18.651,4.764,-0.694,0.601,-0.598
1638654258731,2021-12-04T15:44:18.731,4.844,-0.735,0.657,-0.612
1638654258812,2021-12-04T15:44:18.812,4.925,-0.712,0.750,-0.726
1638654258892,2021-12-04T15:44:18.892,5.005,-0.408,0.635,-0.724
1638654258973,2021-12-04T15:44:18.973,5.086,-0.382,0.618,-0.689
1638654259055,2021-12-04T15:44:19.055,5.168,-0.461,0.664,-0.654
1638654259135,2021-12-04T15:44:19.135,5.248,-0.437,0.709,-0.614
1638654259216,2021-12-04T15:44:19.216,5.329,-0.395,0.728,-0.612
1638654259297,2021-12-04T15:44:19.297,5.410,-0.427,0.747,-0.580
1638654259377,2021-12-04T15:44:19.377,5.490,-0.442,0.771,-0.530
1638654259458,2021-12-04T15:44:19.458,5.571,-0.457,0.791,-0.465
1638654259538,2021-12-04T15:44:19.538,5.651,-0.517,0.819,-0.385
1638654259619,2021-12-04T15:44:19.619,5.732,-0.522,0.844,-0.355
1638654259701,2021-12-04T15:44:19.701,5.814,-0.415,0.868,-0.184
1638654259781,2021-12-04T15:44:19.781,5.894,-0.423,0.901,-0.026
1638654259862,2021-12-04T15:44:19.862,5.975,-0.542,1.022,0.155
1638654259943,2021-12-04T15:44:19.943,6.056,-0.698,0.963,0.039
1638654260023,2021-12-04T15:44:20.023,6.136,-0.485,0.813,0.170
1638654260104,2021-12-04T15:44:20.104,6.217,-0.534,0.688,0.256
1638654260184,2021-12-04T15:44:20.184,6.297,-0.549,0.979,0.285
1638654260265,2021-12-04T15:44:20.265,6.378,-0.591,1.285,0.396
