epoch (ms),time (-11:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1638655318869,2021-12-04T16:01:58.869,0.000,-0.080,0.960,0.239
1638655318949,2021-12-04T16:01:58.949,0.080,-0.062,0.962,0.245
1638655319031,2021-12-04T16:01:59.031,0.162,-0.063,0.979,0.243
1638655319112,2021-12-04T16:01:59.112,0.243,-0.047,0.952,0.252
1638655319192,2021-12-04T16:01:59.192,0.323,-0.053,0.966,0.255
1638655319273,2021-12-04T16:01:59.273,0.404,-0.008,1.015,0.236
1638655319354,2021-12-04T16:01:59.354,0.485,0.063,0.958,0.251
1638655319434,2021-12-04T16:01:59.434,0.565,0.056,0.933,0.243
1638655319515,2021-12-04T16:01:59.515,0.646,0.069,0.947,0.218
1638655319595,2021-12-04T16:01:59.595,0.726,0.076,0.963,0.214
1638655319677,2021-12-04T16:01:59.677,0.808,-0.006,0.949,0.268
1638655319758,2021-12-04T16:01:59.758,0.889,-0.122,0.863,0.277
1638655319838,2021-12-04T16:01:59.838,0.969,-0.204,1.013,0.270
1638655319919,2021-12-04T16:01:59.919,1.050,-0.176,1.035,0.225
1638655320000,2021-12-04T16:02:00.000,1.131,-0.158,0.963,0.223
1638655320080,2021-12-04T16:02:00.080,1.211,-0.132,0.986,0.217
1638655320161,2021-12-04T16:02:00.161,1.292,-0.083,0.984,0.166
1638655320241,2021-12-04T16:02:00.241,1.372,-0.091,0.946,0.109
1638655320323,2021-12-04T16:02:00.323,1.454,-0.084,0.929,0.081
1638655320404,2021-12-04T16:02:00.404,1.535,-0.049,0.958,0.080
1638655320484,2021-12-04T16:02:00.484,1.615,-0.063,1.009,0.033
1638655320565,2021-12-04T16:02:00.565,1.696,-0.044,1.190,0.285
1638655320646,2021-12-04T16:02:00.646,1.777,-0.091,0.815,0.427
1638655320726,2021-12-04T16:02:00.726,1.857,-0.009,0.937,0.346
1638655320807,2021-12-04T16:02:00.807,1.938,-0.000,0.902,0.246
1638655320889,2021-12-04T16:02:00.889,2.020,-0.164,0.927,0.154
1638655320969,2021-12-04T16:02:00.969,2.100,-0.054,1.008,0.147
1638655321050,2021-12-04T16:02:01.050,2.181,0.029,0.988,0.136
1638655321130,2021-12-04T16:02:01.130,2.261,-0.042,1.000,0.081
1638655321211,2021-12-04T16:02:01.211,2.342,-0.149,1.143,0.252
1638655321292,2021-12-04T16:02:01.292,2.423,0.035,0.894,0.477
1638655321372,2021-12-04T16:02:01.372,2.503,-0.106,0.929,0.253
1638655321453,2021-12-04T16:02:01.453,2.584,-0.224,0.979,0.232
1638655321535,2021-12-04T16:02:01.535,2.666,-0.062,0.847,0.208
1638655321615,2021-12-04T16:02:01.615,2.746,-0.158,0.907,0.151
1638655321696,2021-12-04T16:02:01.696,2.827,-0.169,0.960,0.123
1638655321776,2021-12-04T16:02:01.776,2.907,-0.129,0.992,0.042
1638655321857,2021-12-04T16:02:01.857,2.988,-0.111,1.255,0.379
1638655321938,2021-12-04T16:02:01.938,3.069,-0.092,0.863,0.452
1638655322018,2021-12-04T16:02:02.018,3.149,-0.019,0.925,0.297
1638655322099,2021-12-04T16:02:02.099,3.230,0.042,0.904,0.217
1638655322181,2021-12-04T16:02:02.181,3.312,-0.185,0.893,0.167
1638655322261,2021-12-04T16:02:02.261,3.392,-0.056,0.983,0.157
1638655322342,2021-12-04T16:02:02.342,3.473,-0.003,0.958,0.129
1638655322422,2021-12-04T16:02:02.422,3.553,-0.085,1.027,0.125
1638655322503,2021-12-04T16:02:02.503,3.634,-0.186,1.148,0.506
1638655322584,2021-12-04T16:02:02.584,3.715,0.004,0.809,0.346
1638655322664,2021-12-04T16:02:02.664,3.795,-0.272,1.040,0.221
1638655322746,2021-12-04T16:02:02.746,3.877,-0.157,0.857,0.222
1638655322827,2021-12-04T16:02:02.827,3.958,-0.034,0.850,0.205
1638655322907,2021-12-04T16:02:02.907,4.038,-0.011,0.943,0.151
1638655322988,2021-12-04T16:02:02.988,4.119,-0.217,0.996,0.178
1638655323068,2021-12-04T16:02:03.068,4.199,-0.135,1.108,0.442
1638655323149,2021-12-04T16:02:03.149,4.280,0.288,0.899,0.407
1638655323230,2021-12-04T16:02:03.230,4.361,0.000,1.074,0.240
1638655323310,2021-12-04T16:02:03.310,4.441,-0.079,0.937,0.163
1638655323392,2021-12-04T16:02:03.392,4.523,-0.073,0.961,0.156
1638655323473,2021-12-04T16:02:03.473,4.604,-0.087,0.998,0.174
1638655323473,2021-12-04T16:02:03.473,4.604,-0.087,0.998,0.174
1638655323553,2021-12-04T16:02:03.553,4.684,-0.088,0.954,0.149
